Naturais,B + 32,Ciclo Perfeito,B / C,D posterior – D anterior
1,32,8640000,"0,00000370370370370370","0,00000370370370370370"
2,64,8640000,"0,00000740740740740741","0,00000370370370370370"
3,96,8640000,"0,00001111111111111110","0,00000370370370370370"
4,128,8640000,"0,00001481481481481480","0,00000370370370370370"
5,160,8640000,"0,00001851851851851850","0,00000370370370370371"
6,192,8640000,"0,00002222222222222220","0,00000370370370370370"
7,224,8640000,"0,00002592592592592590","0,00000370370370370371"
8,256,8640000,"0,00002962962962962960","0,00000370370370370371"
9,288,8640000,"0,00003333333333333330","0,00000370370370370370"
10,320,8640000,"0,00003703703703703700","0,00000370370370370370"
11,352,8640000,"0,00004074074074074070","0,00000370370370370371"
12,384,8640000,"0,00004444444444444450","0,00000370370370370370"
13,416,8640000,"0,00004814814814814820","0,00000370370370370370"
14,448,8640000,"0,00005185185185185190","0,00000370370370370371"
15,480,8640000,"0,00005555555555555560","0,00000370370370370370"
16,512,8640000,"0,00005925925925925930","0,00000370370370370370"
17,544,8640000,"0,00006296296296296300","0,00000370370370370371"
18,576,8640000,"0,00006666666666666670","0,00000370370370370370"
19,608,8640000,"0,00007037037037037040","0,00000370370370370371"
20,640,8640000,"0,00007407407407407410","0,00000370370370370371"
21,672,8640000,"0,00007777777777777780","0,00000370370370370370"
22,704,8640000,"0,00008148148148148150","0,00000370370370370371"
23,736,8640000,"0,00008518518518518520","0,00000370370370370371"
24,768,8640000,"0,00008888888888888890","0,00000370370370370370"
25,800,8640000,"0,00009259259259259260","0,00000370370370370371"
26,832,8640000,"0,00009629629629629630","0,00000370370370370371"
27,864,8640000,"0,00010000000000000000","0,00000370370370370370"
28,896,8640000,"0,00010370370370370400","0,00000370370370370371"
29,928,8640000,"0,00010740740740740700","0,00000370370370370371"
30,960,8640000,"0,00011111111111111100","0,00000370370370370370"
31,992,8640000,"0,00011481481481481500","0,00000370370370370371"
32,1024,8640000,"0,00011851851851851900","0,00000370370370370370"
33,1056,8640000,"0,00012222222222222200","0,00000370370370370371"
34,1088,8640000,"0,00012592592592592600","0,00000370370370370371"
35,1120,8640000,"0,00012962962962963000","0,00000370370370370371"
36,1152,8640000,"0,00013333333333333300","0,00000370370370370371"
37,1184,8640000,"0,00013703703703703700","0,00000370370370370368"
38,1216,8640000,"0,00014074074074074100","0,00000370370370370371"
39,1248,8640000,"0,00014444444444444400","0,00000370370370370371"
40,1280,8640000,"0,00014814814814814800","0,00000370370370370371"
41,1312,8640000,"0,00015185185185185200","0,00000370370370370371"
42,1344,8640000,"0,00015555555555555600","0,00000370370370370371"
43,1376,8640000,"0,00015925925925925900","0,00000370370370370368"
44,1408,8640000,"0,00016296296296296300","0,00000370370370370371"
45,1440,8640000,"0,00016666666666666700","0,00000370370370370371"
46,1472,8640000,"0,00017037037037037000","0,00000370370370370371"
47,1504,8640000,"0,00017407407407407400","0,00000370370370370371"
48,1536,8640000,"0,00017777777777777800","0,00000370370370370371"
49,1568,8640000,"0,00018148148148148100","0,00000370370370370368"
50,1600,8640000,"0,00018518518518518500","0,00000370370370370371"
51,1632,8640000,"0,00018888888888888900","0,00000370370370370371"
52,1664,8640000,"0,00019259259259259300","0,00000370370370370371"
53,1696,8640000,"0,00019629629629629600","0,00000370370370370371"
54,1728,8640000,"0,00020000000000000000","0,00000370370370370368"
55,1760,8640000,"0,00020370370370370400","0,00000370370370370371"
56,1792,8640000,"0,00020740740740740700","0,00000370370370370371"
57,1824,8640000,"0,00021111111111111100","0,00000370370370370371"
58,1856,8640000,"0,00021481481481481500","0,00000370370370370371"
59,1888,8640000,"0,00021851851851851900","0,00000370370370370371"
60,1920,8640000,"0,00022222222222222200","0,00000370370370370368"
61,1952,8640000,"0,00022592592592592600","0,00000370370370370371"
62,1984,8640000,"0,00022962962962963000","0,00000370370370370371"
63,2016,8640000,"0,00023333333333333300","0,00000370370370370371"
64,2048,8640000,"0,00023703703703703700","0,00000370370370370371"
65,2080,8640000,"0,00024074074074074100","0,00000370370370370368"
66,2112,8640000,"0,00024444444444444400","0,00000370370370370374"
67,2144,8640000,"0,00024814814814814800","0,00000370370370370368"
68,2176,8640000,"0,00025185185185185200","0,00000370370370370374"
69,2208,8640000,"0,00025555555555555600","0,00000370370370370368"
70,2240,8640000,"0,00025925925925925900","0,00000370370370370368"
71,2272,8640000,"0,00026296296296296300","0,00000370370370370374"
72,2304,8640000,"0,00026666666666666700","0,00000370370370370368"
73,2336,8640000,"0,00027037037037037000","0,00000370370370370374"
74,2368,8640000,"0,00027407407407407400","0,00000370370370370368"
75,2400,8640000,"0,00027777777777777800","0,00000370370370370368"
76,2432,8640000,"0,00028148148148148100","0,00000370370370370374"
77,2464,8640000,"0,00028518518518518500","0,00000370370370370368"
78,2496,8640000,"0,00028888888888888900","0,00000370370370370374"
79,2528,8640000,"0,00029259259259259300","0,00000370370370370368"
80,2560,8640000,"0,00029629629629629600","0,00000370370370370368"
81,2592,8640000,"0,00030000000000000000","0,00000370370370370374"
82,2624,8640000,"0,00030370370370370400","0,00000370370370370368"
83,2656,8640000,"0,00030740740740740700","0,00000370370370370374"
84,2688,8640000,"0,00031111111111111100","0,00000370370370370368"
85,2720,8640000,"0,00031481481481481500","0,00000370370370370374"
86,2752,8640000,"0,00031851851851851900","0,00000370370370370368"
87,2784,8640000,"0,00032222222222222200","0,00000370370370370368"
88,2816,8640000,"0,00032592592592592600","0,00000370370370370374"
89,2848,8640000,"0,00032962962962963000","0,00000370370370370368"
90,2880,8640000,"0,00033333333333333300","0,00000370370370370374"
91,2912,8640000,"0,00033703703703703700","0,00000370370370370368"
92,2944,8640000,"0,00034074074074074100","0,00000370370370370368"
93,2976,8640000,"0,00034444444444444400","0,00000370370370370374"
94,3008,8640000,"0,00034814814814814800","0,00000370370370370368"
95,3040,8640000,"0,00035185185185185200","0,00000370370370370374"
96,3072,8640000,"0,00035555555555555600","0,00000370370370370368"
97,3104,8640000,"0,00035925925925925900","0,00000370370370370374"
98,3136,8640000,"0,00036296296296296300","0,00000370370370370368"
99,3168,8640000,"0,00036666666666666700","0,00000370370370370368"
100,3200,8640000,"0,00037037037037037000","0,00000370370370370374"
101,3232,8640000,"0,00037407407407407400","0,00000370370370370368"
102,3264,8640000,"0,00037777777777777800","0,00000370370370370374"
103,3296,8640000,"0,00038148148148148200","0,00000370370370370368"
104,3328,8640000,"0,00038518518518518500","0,00000370370370370368"
105,3360,8640000,"0,00038888888888888900","0,00000370370370370374"
106,3392,8640000,"0,00039259259259259300","0,00000370370370370368"
107,3424,8640000,"0,00039629629629629600","0,00000370370370370374"
108,3456,8640000,"0,00040000000000000000","0,00000370370370370368"
109,3488,8640000,"0,00040370370370370400","0,00000370370370370368"
110,3520,8640000,"0,00040740740740740700","0,00000370370370370374"
111,3552,8640000,"0,00041111111111111100","0,00000370370370370368"
112,3584,8640000,"0,00041481481481481500","0,00000370370370370374"
113,3616,8640000,"0,00041851851851851900","0,00000370370370370368"
114,3648,8640000,"0,00042222222222222200","0,00000370370370370374"
115,3680,8640000,"0,00042592592592592600","0,00000370370370370368"
116,3712,8640000,"0,00042962962962963000","0,00000370370370370368"
117,3744,8640000,"0,00043333333333333300","0,00000370370370370374"
118,3776,8640000,"0,00043703703703703700","0,00000370370370370368"
119,3808,8640000,"0,00044074074074074100","0,00000370370370370374"
120,3840,8640000,"0,00044444444444444400","0,00000370370370370368"
121,3872,8640000,"0,00044814814814814800","0,00000370370370370368"
122,3904,8640000,"0,00045185185185185200","0,00000370370370370374"
123,3936,8640000,"0,00045555555555555600","0,00000370370370370368"
124,3968,8640000,"0,00045925925925925900","0,00000370370370370374"
125,4000,8640000,"0,00046296296296296300","0,00000370370370370368"
126,4032,8640000,"0,00046666666666666700","0,00000370370370370374"
127,4064,8640000,"0,00047037037037037000","0,00000370370370370368"
128,4096,8640000,"0,00047407407407407400","0,00000370370370370368"
129,4128,8640000,"0,00047777777777777800","0,00000370370370370374"
130,4160,8640000,"0,00048148148148148200","0,00000370370370370368"
131,4192,8640000,"0,00048518518518518500","0,00000370370370370368"
132,4224,8640000,"0,00048888888888888900","0,00000370370370370368"
133,4256,8640000,"0,00049259259259259300","0,00000370370370370379"
134,4288,8640000,"0,00049629629629629600","0,00000370370370370368"
135,4320,8640000,"0,00050000000000000000","0,00000370370370370368"
136,4352,8640000,"0,00050370370370370400","0,00000370370370370368"
137,4384,8640000,"0,00050740740740740700","0,00000370370370370379"
138,4416,8640000,"0,00051111111111111100","0,00000370370370370368"
139,4448,8640000,"0,00051481481481481500","0,00000370370370370368"
140,4480,8640000,"0,00051851851851851900","0,00000370370370370368"
141,4512,8640000,"0,00052222222222222200","0,00000370370370370368"
142,4544,8640000,"0,00052592592592592600","0,00000370370370370379"
143,4576,8640000,"0,00052962962962963000","0,00000370370370370368"
144,4608,8640000,"0,00053333333333333300","0,00000370370370370368"
145,4640,8640000,"0,00053703703703703700","0,00000370370370370368"
146,4672,8640000,"0,00054074074074074100","0,00000370370370370368"
147,4704,8640000,"0,00054444444444444400","0,00000370370370370379"
148,4736,8640000,"0,00054814814814814800","0,00000370370370370368"
149,4768,8640000,"0,00055185185185185200","0,00000370370370370368"
150,4800,8640000,"0,00055555555555555600","0,00000370370370370368"
151,4832,8640000,"0,00055925925925925900","0,00000370370370370368"
152,4864,8640000,"0,00056296296296296300","0,00000370370370370379"
153,4896,8640000,"0,00056666666666666700","0,00000370370370370368"
154,4928,8640000,"0,00057037037037037000","0,00000370370370370368"
