Naturais,B + 43,Ciclo Perfeito,B / C,D posterior – D atual
1,43,8640000,"0,00000497685185185185","0,00000497685185185185"
2,86,8640000,"0,00000995370370370371","0,00000497685185185185"
3,129,8640000,"0,00001493055555555560","0,00000497685185185185"
4,172,8640000,"0,00001990740740740740","0,00000497685185185185"
5,215,8640000,"0,00002488425925925930","0,00000497685185185185"
6,258,8640000,"0,00002986111111111110","0,00000497685185185185"
7,301,8640000,"0,00003483796296296300","0,00000497685185185186"
8,344,8640000,"0,00003981481481481480","0,00000497685185185185"
9,387,8640000,"0,00004479166666666670","0,00000497685185185185"
10,430,8640000,"0,00004976851851851850","0,00000497685185185186"
11,473,8640000,"0,00005474537037037040","0,00000497685185185185"
12,516,8640000,"0,00005972222222222220","0,00000497685185185186"
13,559,8640000,"0,00006469907407407410","0,00000497685185185185"
14,602,8640000,"0,00006967592592592590","0,00000497685185185185"
15,645,8640000,"0,00007465277777777780","0,00000497685185185186"
16,688,8640000,"0,00007962962962962960","0,00000497685185185185"
17,731,8640000,"0,00008460648148148150","0,00000497685185185185"
18,774,8640000,"0,00008958333333333330","0,00000497685185185185"
19,817,8640000,"0,00009456018518518520","0,00000497685185185185"
20,860,8640000,"0,00009953703703703700","0,00000497685185185186"
21,903,8640000,"0,00010451388888888900","0,00000497685185185185"
22,946,8640000,"0,00010949074074074100","0,00000497685185185185"
23,989,8640000,"0,00011446759259259300","0,00000497685185185185"
24,1032,8640000,"0,00011944444444444400","0,00000497685185185186"
25,1075,8640000,"0,00012442129629629600","0,00000497685185185185"
26,1118,8640000,"0,00012939814814814800","0,00000497685185185185"
27,1161,8640000,"0,00013437500000000000","0,00000497685185185185"
28,1204,8640000,"0,00013935185185185200","0,00000497685185185185"
29,1247,8640000,"0,00014432870370370400","0,00000497685185185185"
30,1290,8640000,"0,00014930555555555600","0,00000497685185185185"
31,1333,8640000,"0,00015428240740740700","0,00000497685185185188"
32,1376,8640000,"0,00015925925925925900","0,00000497685185185185"
33,1419,8640000,"0,00016423611111111100","0,00000497685185185185"
34,1462,8640000,"0,00016921296296296300","0,00000497685185185185"
35,1505,8640000,"0,00017418981481481500","0,00000497685185185185"
36,1548,8640000,"0,00017916666666666700","0,00000497685185185185"
37,1591,8640000,"0,00018414351851851900","0,00000497685185185185"
38,1634,8640000,"0,00018912037037037000","0,00000497685185185185"
39,1677,8640000,"0,00019409722222222200","0,00000497685185185185"
40,1720,8640000,"0,00019907407407407400","0,00000497685185185188"
41,1763,8640000,"0,00020405092592592600","0,00000497685185185185"
42,1806,8640000,"0,00020902777777777800","0,00000497685185185185"
43,1849,8640000,"0,00021400462962963000","0,00000497685185185185"
44,1892,8640000,"0,00021898148148148100","0,00000497685185185185"
45,1935,8640000,"0,00022395833333333300","0,00000497685185185185"
46,1978,8640000,"0,00022893518518518500","0,00000497685185185185"
47,2021,8640000,"0,00023391203703703700","0,00000497685185185185"
48,2064,8640000,"0,00023888888888888900","0,00000497685185185185"
49,2107,8640000,"0,00024386574074074100","0,00000497685185185188"
50,2150,8640000,"0,00024884259259259300","0,00000497685185185182"
51,2193,8640000,"0,00025381944444444400","0,00000497685185185188"
52,2236,8640000,"0,00025879629629629600","0,00000497685185185182"
53,2279,8640000,"0,00026377314814814800","0,00000497685185185188"
54,2322,8640000,"0,00026875000000000000","0,00000497685185185188"
55,2365,8640000,"0,00027372685185185200","0,00000497685185185182"
56,2408,8640000,"0,00027870370370370400","0,00000497685185185188"
57,2451,8640000,"0,00028368055555555600","0,00000497685185185182"
58,2494,8640000,"0,00028865740740740700","0,00000497685185185188"
59,2537,8640000,"0,00029363425925925900","0,00000497685185185182"
60,2580,8640000,"0,00029861111111111100","0,00000497685185185188"
61,2623,8640000,"0,00030358796296296300","0,00000497685185185182"
62,2666,8640000,"0,00030856481481481500","0,00000497685185185188"
63,2709,8640000,"0,00031354166666666700","0,00000497685185185188"
